"","Province/State","Country/Region","Lat","Long","Date","Value"
"257",NA,"Andorra","42.5063","1.5218","2020-02-06","0"
"258",NA,"Andorra","42.5063","1.5218","2020-02-05","0"
"259",NA,"Andorra","42.5063","1.5218","2020-02-04","0"
"260",NA,"Andorra","42.5063","1.5218","2020-02-03","0"
"261",NA,"Andorra","42.5063","1.5218","2020-02-02","0"
"262",NA,"Andorra","42.5063","1.5218","2020-02-01","0"
"263",NA,"Andorra","42.5063","1.5218","2020-01-31","0"
"264",NA,"Andorra","42.5063","1.5218","2020-01-30","0"
"265",NA,"Andorra","42.5063","1.5218","2020-01-29","0"
"266",NA,"Andorra","42.5063","1.5218","2020-01-28","0"
"267",NA,"Andorra","42.5063","1.5218","2020-01-27","0"
"268",NA,"Andorra","42.5063","1.5218","2020-01-26","0"
"269",NA,"Andorra","42.5063","1.5218","2020-01-25","0"
"270",NA,"Andorra","42.5063","1.5218","2020-01-24","0"
"271",NA,"Andorra","42.5063","1.5218","2020-01-23","0"
"272",NA,"Andorra","42.5063","1.5218","2020-01-22","0"
"273",NA,"Angola","-11.2027","17.8739","2020-03-29","7"
"274",NA,"Angola","-11.2027","17.8739","2020-03-28","5"
"275",NA,"Angola","-11.2027","17.8739","2020-03-27","4"
"276",NA,"Angola","-11.2027","17.8739","2020-03-26","4"
"277",NA,"Angola","-11.2027","17.8739","2020-03-25","3"
"278",NA,"Angola","-11.2027","17.8739","2020-03-24","3"
"279",NA,"Angola","-11.2027","17.8739","2020-03-23","3"
"280",NA,"Angola","-11.2027","17.8739","2020-03-22","2"
"281",NA,"Angola","-11.2027","17.8739","2020-03-21","2"
"282",NA,"Angola","-11.2027","17.8739","2020-03-20","1"
"283",NA,"Angola","-11.2027","17.8739","2020-03-19","0"
"284",NA,"Angola","-11.2027","17.8739","2020-03-18","0"
"285",NA,"Angola","-11.2027","17.8739","2020-03-17","0"
"286",NA,"Angola","-11.2027","17.8739","2020-03-16","0"
"287",NA,"Angola","-11.2027","17.8739","2020-03-15","0"
"288",NA,"Angola","-11.2027","17.8739","2020-03-14","0"
"289",NA,"Angola","-11.2027","17.8739","2020-03-13","0"
"290",NA,"Angola","-11.2027","17.8739","2020-03-12","0"
"291",NA,"Angola","-11.2027","17.8739","2020-03-11","0"
"292",NA,"Angola","-11.2027","17.8739","2020-03-10","0"
"293",NA,"Angola","-11.2027","17.8739","2020-03-09","0"
"294",NA,"Angola","-11.2027","17.8739","2020-03-08","0"
"295",NA,"Angola","-11.2027","17.8739","2020-03-07","0"
"296",NA,"Angola","-11.2027","17.8739","2020-03-06","0"
"297",NA,"Angola","-11.2027","17.8739","2020-03-05","0"
"298",NA,"Angola","-11.2027","17.8739","2020-03-04","0"
"299",NA,"Angola","-11.2027","17.8739","2020-03-03","0"
"300",NA,"Angola","-11.2027","17.8739","2020-03-02","0"
"301",NA,"Angola","-11.2027","17.8739","2020-03-01","0"
"302",NA,"Angola","-11.2027","17.8739","2020-02-29","0"
"303",NA,"Angola","-11.2027","17.8739","2020-02-28","0"
"304",NA,"Angola","-11.2027","17.8739","2020-02-27","0"
"305",NA,"Angola","-11.2027","17.8739","2020-02-26","0"
"306",NA,"Angola","-11.2027","17.8739","2020-02-25","0"
"307",NA,"Angola","-11.2027","17.8739","2020-02-24","0"
"308",NA,"Angola","-11.2027","17.8739","2020-02-23","0"
"309",NA,"Angola","-11.2027","17.8739","2020-02-22","0"
"310",NA,"Angola","-11.2027","17.8739","2020-02-21","0"
"311",NA,"Angola","-11.2027","17.8739","2020-02-20","0"
"312",NA,"Angola","-11.2027","17.8739","2020-02-19","0"
"313",NA,"Angola","-11.2027","17.8739","2020-02-18","0"
"314",NA,"Angola","-11.2027","17.8739","2020-02-17","0"
"315",NA,"Angola","-11.2027","17.8739","2020-02-16","0"
"316",NA,"Angola","-11.2027","17.8739","2020-02-15","0"
"317",NA,"Angola","-11.2027","17.8739","2020-02-14","0"
"318",NA,"Angola","-11.2027","17.8739","2020-02-13","0"
"319",NA,"Angola","-11.2027","17.8739","2020-02-12","0"
"320",NA,"Angola","-11.2027","17.8739","2020-02-11","0"
"321",NA,"Angola","-11.2027","17.8739","2020-02-10","0"
"322",NA,"Angola","-11.2027","17.8739","2020-02-09","0"
"323",NA,"Angola","-11.2027","17.8739","2020-02-08","0"
"324",NA,"Angola","-11.2027","17.8739","2020-02-07","0"
"325",NA,"Angola","-11.2027","17.8739","2020-02-06","0"
"326",NA,"Angola","-11.2027","17.8739","2020-02-05","0"
"327",NA,"Angola","-11.2027","17.8739","2020-02-04","0"
"328",NA,"Angola","-11.2027","17.8739","2020-02-03","0"
"329",NA,"Angola","-11.2027","17.8739","2020-02-02","0"
"330",NA,"Angola","-11.2027","17.8739","2020-02-01","0"
"331",NA,"Angola","-11.2027","17.8739","2020-01-31","0"
"332",NA,"Angola","-11.2027","17.8739","2020-01-30","0"
"333",NA,"Angola","-11.2027","17.8739","2020-01-29","0"
"334",NA,"Angola","-11.2027","17.8739","2020-01-28","0"
"335",NA,"Angola","-11.2027","17.8739","2020-01-27","0"
"336",NA,"Angola","-11.2027","17.8739","2020-01-26","0"
"337",NA,"Angola","-11.2027","17.8739","2020-01-25","0"
"338",NA,"Angola","-11.2027","17.8739","2020-01-24","0"
"339",NA,"Angola","-11.2027","17.8739","2020-01-23","0"
"340",NA,"Angola","-11.2027","17.8739","2020-01-22","0"
"341",NA,"Antigua and Barbuda","17.0608","-61.7964","2020-03-29","7"
"342",NA,"Antigua and Barbuda","17.0608","-61.7964","2020-03-28","7"
"343",NA,"Antigua and Barbuda","17.0608","-61.7964","2020-03-27","7"
"344",NA,"Antigua and Barbuda","17.0608","-61.7964","2020-03-26","7"
"345",NA,"Antigua and Barbuda","17.0608","-61.7964","2020-03-25","3"
"346",NA,"Antigua and Barbuda","17.0608","-61.7964","2020-03-24","3"
"347",NA,"Antigua and Barbuda","17.0608","-61.7964","2020-03-23","3"
"348",NA,"Antigua and Barbuda","17.0608","-61.7964","2020-03-22","1"
"349",NA,"Antigua and Barbuda","17.0608","-61.7964","2020-03-21","1"
"350",NA,"Antigua and Barbuda","17.0608","-61.7964","2020-03-20","1"
"351",NA,"Antigua and Barbuda","17.0608","-61.7964","2020-03-19","1"
"352",NA,"Antigua and Barbuda","17.0608","-61.7964","2020-03-18","1"
"353",NA,"Antigua and Barbuda","17.0608","-61.7964","2020-03-17","1"
"354",NA,"Antigua and Barbuda","17.0608","-61.7964","2020-03-16","1"
"355",NA,"Antigua and Barbuda","17.0608","-61.7964","2020-03-15","1"
"356",NA,"Antigua and Barbuda","17.0608","-61.7964","2020-03-14","1"
"357",NA,"Antigua and Barbuda","17.0608","-61.7964","2020-03-13","1"
"358",NA,"Antigua and Barbuda","17.0608","-61.7964","2020-03-12","0"
"359",NA,"Antigua and Barbuda","17.0608","-61.7964","2020-03-11","0"
"360",NA,"Antigua and Barbuda","17.0608","-61.7964","2020-03-10","0"
"361",NA,"Antigua and Barbuda","17.0608","-61.7964","2020-03-09","0"
"362",NA,"Antigua and Barbuda","17.0608","-61.7964","2020-03-08","0"
"363",NA,"Antigua and Barbuda","17.0608","-61.7964","2020-03-07","0"
"364",NA,"Antigua and Barbuda","17.0608","-61.7964","2020-03-06","0"
"365",NA,"Antigua and Barbuda","17.0608","-61.7964","2020-03-05","0"
"366",NA,"Antigua and Barbuda","17.0608","-61.7964","2020-03-04","0"
"367",NA,"Antigua and Barbuda","17.0608","-61.7964","2020-03-03","0"
"368",NA,"Antigua and Barbuda","17.0608","-61.7964","2020-03-02","0"
"369",NA,"Antigua and Barbuda","17.0608","-61.7964","2020-03-01","0"
"370",NA,"Antigua and Barbuda","17.0608","-61.7964","2020-02-29","0"
"371",NA,"Antigua and Barbuda","17.0608","-61.7964","2020-02-28","0"
"372",NA,"Antigua and Barbuda","17.0608","-61.7964","2020-02-27","0"
"373",NA,"Antigua and Barbuda","17.0608","-61.7964","2020-02-26","0"
"374",NA,"Antigua and Barbuda","17.0608","-61.7964","2020-02-25","0"
"375",NA,"Antigua and Barbuda","17.0608","-61.7964","2020-02-24","0"
"376",NA,"Antigua and Barbuda","17.0608","-61.7964","2020-02-23","0"
"377",NA,"Antigua and Barbuda","17.0608","-61.7964","2020-02-22","0"
"378",NA,"Antigua and Barbuda","17.0608","-61.7964","2020-02-21","0"
"379",NA,"Antigua and Barbuda","17.0608","-61.7964","2020-02-20","0"
"380",NA,"Antigua and Barbuda","17.0608","-61.7964","2020-02-19","0"
"381",NA,"Antigua and Barbuda","17.0608","-61.7964","2020-02-18","0"
"382",NA,"Antigua and Barbuda","17.0608","-61.7964","2020-02-17","0"
"383",NA,"Antigua and Barbuda","17.0608","-61.7964","2020-02-16","0"
"384",NA,"Antigua and Barbuda","17.0608","-61.7964","2020-02-15","0"
"385",NA,"Antigua and Barbuda","17.0608","-61.7964","2020-02-14","0"
"386",NA,"Antigua and Barbuda","17.0608","-61.7964","2020-02-13","0"
"387",NA,"Antigua and Barbuda","17.0608","-61.7964","2020-02-12","0"
"388",NA,"Antigua and Barbuda","17.0608","-61.7964","2020-02-11","0"
"389",NA,"Antigua and Barbuda","17.0608","-61.7964","2020-02-10","0"
"390",NA,"Antigua and Barbuda","17.0608","-61.7964","2020-02-09","0"
"391",NA,"Antigua and Barbuda","17.0608","-61.7964","2020-02-08","0"
"392",NA,"Antigua and Barbuda","17.0608","-61.7964","2020-02-07","0"
"393",NA,"Antigua and Barbuda","17.0608","-61.7964","2020-02-06","0"
"394",NA,"Antigua and Barbuda","17.0608","-61.7964","2020-02-05","0"
"395",NA,"Antigua and Barbuda","17.0608","-61.7964","2020-02-04","0"
"396",NA,"Antigua and Barbuda","17.0608","-61.7964","2020-02-03","0"
"397",NA,"Antigua and Barbuda","17.0608","-61.7964","2020-02-02","0"
"398",NA,"Antigua and Barbuda","17.0608","-61.7964","2020-02-01","0"
"399",NA,"Antigua and Barbuda","17.0608","-61.7964","2020-01-31","0"
"400",NA,"Antigua and Barbuda","17.0608","-61.7964","2020-01-30","0"
"401",NA,"Antigua and Barbuda","17.0608","-61.7964","2020-01-29","0"
"402",NA,"Antigua and Barbuda","17.0608","-61.7964","2020-01-28","0"
"403",NA,"Antigua and Barbuda","17.0608","-61.7964","2020-01-27","0"
"404",NA,"Antigua and Barbuda","17.0608","-61.7964","2020-01-26","0"
"405",NA,"Antigua and Barbuda","17.0608","-61.7964","2020-01-25","0"
"406",NA,"Antigua and Barbuda","17.0608","-61.7964","2020-01-24","0"
"407",NA,"Antigua and Barbuda","17.0608","-61.7964","2020-01-23","0"
"408",NA,"Antigua and Barbuda","17.0608","-61.7964","2020-01-22","0"
"409",NA,"Argentina","-38.4161","-63.6167","2020-03-29","745"
"410",NA,"Argentina","-38.4161","-63.6167","2020-03-28","690"
"411",NA,"Argentina","-38.4161","-63.6167","2020-03-27","589"
"412",NA,"Argentina","-38.4161","-63.6167","2020-03-26","502"
"413",NA,"Argentina","-38.4161","-63.6167","2020-03-25","387"
"414",NA,"Argentina","-38.4161","-63.6167","2020-03-24","387"
"415",NA,"Argentina","-38.4161","-63.6167","2020-03-23","301"
"416",NA,"Argentina","-38.4161","-63.6167","2020-03-22","266"
"417",NA,"Argentina","-38.4161","-63.6167","2020-03-21","158"
"418",NA,"Argentina","-38.4161","-63.6167","2020-03-20","128"
"419",NA,"Argentina","-38.4161","-63.6167","2020-03-19","97"
"420",NA,"Argentina","-38.4161","-63.6167","2020-03-18","79"
